 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0079,2021,SEPTIEMBRE,FRACCIONAMIENTO,LAS LOMAS SECTOR JARDINES,CALLE,JARDIN DE LAS LOMAS,SI,SI,SI,SI,SI,SI,8,"25.76546, -100.436776",
MGNL0222,2021,SEPTIEMBRE,FRACCIONAMIENTO,Praderas de Lincoln,AVENIDA,Av. De los Rios / Rio Amazonas,NO,SI,SI,SI,NO,SI,9,"25.808394, -100.579716",
MGNL0080,2021,SEPTIEMBRE,FRACCIONAMIENTO,LAS LOMAS PRIVADA DIAMANTE,CALLE,AV DIAMANTE,SI,SI,SI,SI,SI,SI,4,"25.767433, -100.435309",
MGNL0226,2021,SEPTIEMBRE,FRACCIONAMIENTO,Privada de Las Villas,CALLE,Las Villas / Av. Las Villas,NO,SI,NO,SI,NO,SI,15,"25.791125, -100.57005",
MGNL0082,2021,SEPTIEMBRE,FRACCIONAMIENTO,LAS LOMAS PRIVADA DE LA PRADERA,CALLE,AV DE LA PRADERA,SI,SI,SI,SI,SI,SI,4,"25.799354, -100.432402",
MGNL0231,2021,SEPTIEMBRE,FRACCIONAMIENTO,Privadas de Lincoln,CALLE,Guadalajara / Puebla,NO,SI,SI,SI,NO,SI,6,"25.791125, -100.57005",
MGNL0085,2021,SEPTIEMBRE,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR SACRAMENTO,CALLE,SAN ROQUE,SI,SI,SI,SI,SI,SI,3,"25.787746, -100.425256",
MGNL0233,2021,SEPTIEMBRE,FRACCIONAMIENTO,Privada Oasis de Garcia,CALLE,Oasis de Gobi / Oasis de Turpan,SI,SI,NO,SI,NO,SI,2,"25.813728, -100.616054",
MGNL0089,2021,SEPTIEMBRE,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR TOLEDO,CALLE,PARROQUIA CAPILLA Y CONVENTO,SI,SI,NO,NO,SI,NO,0,"25.788673, -100.421758",
MGNL0237,2021,SEPTIEMBRE,FRACCIONAMIENTO,Punta Diamante,CALLE,Turmalina / Jaspe,NO,SI,SI,NO,NO,SI,5,"25.79292, -100.59205",
MGNL0097,2021,SEPTIEMBRE,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR AJUSCO,CALLE,AJUSCO Y CHAPULTEPEC,SI,SI,SI,SI,SI,SI,5,"25.781502, -100.438073",
MGNL0239,2021,SEPTIEMBRE,FRACCIONAMIENTO,Real de Capellania,CALLE,Capellania / Canarias,NO,SI,SI,SI,NO,SI,3 Dobles,"25.783895, -100.588744",
MGNL0098,2021,SEPTIEMBRE,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR GRANADA,CALLE,AMBROZ  Y FERRERA,SI,SI,SI,SI,SI,SI,3,"25.785655, -100.422598",
MGNL0242,2021,SEPTIEMBRE,FRACCIONAMIENTO,Real de Lincoln,CALLE,Domiciano / Trajano,NO,SI,SI,SI,NO,SI,6,"25.810257, -100.543098",
MGNL0103,2021,SEPTIEMBRE,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR AVES,CALLE,ALONDRA,SI,SI,SI,SI,NO,SI,22,"25.798212, -100.432789",
MGNL0252,2021,SEPTIEMBRE,FRACCIONAMIENTO,Residencial Santa Elena,CALLE,Santa Ines- Santa Cristina / Santa Adela,NO,SI,SI,SI,NO,SI,4,"25.812748, -100.619559",
MGNL0107,2021,SEPTIEMBRE,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR VALLES,CALLE,VALLE DE CUAUTITLAN,SI,SI,NO,SI,SI,NO,0,"25.804541, -100.437684",
MGNL0253,2021,SEPTIEMBRE,FRACCIONAMIENTO,Santa Lucia Residencial,CALLE,Pico de Orizaba / Cerro del Tepeyac,NO,SI,SI,SI,NO,SI,11,"25.822518, -100.630231",
MGNL0109,2021,SEPTIEMBRE,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR MONTAÑAS,CALLE,MONTE IBERICO,SI,SI,NO,SI,SI,SI,5,"25.805536, -100.433686",
MGNL0257,2021,SEPTIEMBRE,FRACCIONAMIENTO,Santa Sofia,CALLE,Santa Sofia / Santa Martha,NO,SI,NO,SI,NO,SI,3,"25.811577, -100.638248",
MGNL0124,2021,SEPTIEMBRE,FRACCIONAMIENTO,CUMBRES ELITE PREMIER PRIVADA PIRINEOS,CALLE,CAMINO DEL CASTAÑO,SI,SI,SI,SI,NO,SI,5,"25.742994, -100.437724",
MGNL0265,2021,SEPTIEMBRE,FRACCIONAMIENTO,Urbivilla del Prado,AVENIDA,Av. Las Torres / Paseo del Prado,NO,SI,SI,SI,NO,SI,6,"25.782566, -100.590806",
