FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
22073,2021,JULIO,2021-07-26,LUNES,11:04:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,REP MEXICANA Y NOGALAR,"25.721794, -100.292232"
22734,2021,JUNIO,2021-06-28,LUNES,08:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,SALVADOR ALLENDE,AVENIDA,LOPEZ MATEOS Y DE LA JUVENTUD,"25.714851, -100.272332"
23155,2021,JULIO,2021-07-27,MARTES,09:21:00,ALCANCE/18,INVESTIGACIONES,RUTINA,COLONIA,CASA BELLA,AVENIDA,SENDERO Y MATAMOROS,"25.766597, -100.298297"
23409,2021,JULIO,2021-07-26,LUNES,17:37:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,LAS PUENTES,CALLE,VESUBIO Y PICO ILIMANI,"25.741523, -100.273382"
22714,2021,JUNIO,2021-06-28,LUNES,19:20:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ Y FRAY LUIS DE LEON,"25.730775, -100.309218"
23635,2021,JULIO,2021-07-27,MARTES,12:01:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y SORJUANA INES DE LA CRUZ,"25.739091, -100.302734"
22690,2021,JULIO,2021-07-26,LUNES,22:50:00,ALCANCE,PERITAJES,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y NOGALAR SUR,"25.730399, -100.303178"
21150,2021,JUNIO,2021-06-28,LUNES,17:15:00,REVERSA,FINIQUITADO,RUTINA,COLONIA,CONST DE QUERETARO,CALLE,EJERCITO CONSTITUCIONALISTA Y FELIZ PALAVICINI,"25.716843, -100.253252"
3071,2021,JULIO,2021-07-27,MARTES,12:22:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL LOS PARQUES,AVENIDA,SANTA ROSA Y PARQUE FLORIDO,"25.744165, -100.238421"
23634,2021,JULIO,2021-07-27,MARTES,08:01:00,ALCANCE  CON PROYECCION,FINIQUITADO,RUTINA,RESIDENCIAL,RESIDENCIAL ANAHUAC,AVENIDA,MANUEL L. BARRAGAN Y TORRES DE FALCON,"25.748888, -100.310178"
22712,2021,JUNIO,2021-06-28,LUNES,17:03:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,BARRAGAN Y FIDEL VZZ,"25.729245, -100.316883"
23382,2021,JULIO,2021-07-27,MARTES,15:53:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ESTACION RAMON TREVIÑO,AVENIDA,MANUEL L. BARRAGAN Y JUNA PABLO  II,"25.752522, -100.30872"
23292,2021,JULIO,2021-07-27,MARTES,09:15:00,CRUCERO,PERITAJES,RUTINA,COLONIA,CABECERA MUNICIPAL,CALLE,PINO SUAREZ Y MORELOS,"25.750168, -100.290157"
22438,2021,JUNIO,2021-06-29,MARTES,10:20:00,ALCANCE,FINIQUITADO,911,FRACCIONAMIENTO,FRACCIONAMIENTO VILLARREAL,AVENIDA,UNIVERSIDAD Y SENDERO,"25.767392, -100.292059"
23481,2021,JULIO,2021-07-27,MARTES,16:35:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,RINCON DE ORIENTE,AVENIDA,LOPEZ MATEOS Y EBANOS,"25.730706, -100.251477"
21744,2021,JULIO,2021-07-27,MARTES,11:25:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CONST DE QUERETARO,AVENIDA,ROMULO GARZA Y ROBERTO G. SADA,"25.7124, -100.2612"
