 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
955,2022,MARZO,2022-03-21,lunes,17:26:00,LATERAL CON PROYECCIÓN,PARTICULARES,C4/911,SUBURBANA/RURAL,CARRETERA A LAGUNA DE SANCHEZ KM 8,CARRETERA,SD,"25.426825823229976, -100.13207839188473",
772,2022,MARZO,2022-03-24,jueves,22:23:00,ESTRELLAMIENTO,PARTICULARES,C4/911,SUBURBANA/RURAL,CARRETERA NACIONAL KM 245,CARRETERA,EL CERCADO,"25.402818161179212, -100.13283550256746",
988,2022,MARZO,2022-03-24,jueves,11:11:00,CHOQUE DE CRUCERO,PARTICULARES,C4/911,SUBURBANA/RURAL,FRANCISCO LA MADRID,CALLE,CENTRO DE SANTIAGO,"25.42824336259628, -100.15118277584975",
1022,2022,MARZO,2022-03-25,viernes,15:31:00,ALCANCE,PARTICULARES,C4/911,SUBURBANA/RURAL,HEROES DEL 47,CALLE,SAN FRANCISCO,"25.410826479772684, -100.16709110059074",
1021,2022,MARZO,2022-03-25,viernes,07:45:00,ESTRELLAMIENTO,PARTICULARES,C4/911,SUBURBANA/RURAL,CARRETERA LOS CAVAZOS SAN MATEO KM 2,CARRETERA,LOS CAVAZOS SAN MATEO,"25.451312909325942, -100.14908939432995",
973,2022,MARZO,2022-03-26,sábado,11:37:00,CRUCERO,PARTICULARES,C4/911,SUBURBANA/RURAL,JARDINES DE LA BOCA,CALLE,JARDINES DE LA BOCA,"25.400033216931664, -100.1300251257435",
990,2022,MARZO,2022-03-26,sábado,07:15:00,ESTRELLAMIENTO,MUNCIPIO,C4/911,SUBURBANA/RURAL,ZARAGOZA,CALLE,EL BARRIAL,"25.475009494212376, -100.19153135534766",
970,2022,MARZO,2022-03-27,domingo,03:35:00,SALIDA DE CARPETA CON VOLCADURA,PARTICULARES Y MUNICIPIO,C4/911,SUBURBANA/RURAL,CARRETERA NACIONAL KM 244,CARRETERA,SAN JOSE,"25.39743003649062, -100.12664265794488",
1023,2022,MARZO,2022-03-28,lunes,13:01:00,CHOQUE DE CRUCERO,PARTICULARES,C4/911,SUBURBANA/RURAL,21 DE MARZO,CALLE,VILLA CENTRO,"25.429739301816298, -100.15451334742335",
1031,2022,MARZO,2022-03-29,martes,15:31:00,ESTRELLAMIENTO,PARTICULARES,C4/911,SUBURBANA/RURAL,CARRETERA COLA DE CABALLO KM 2,CARRETERA,LA CIENEGUILLA,"25.389206874094732, -100.14637386876001",
1032,2022,MARZO,2022-03-30,miércoles,19:29:00,CHOQUE DE CRUCERO EN FORMA DE T CON VOLCADURA,PARTICULARES,C4/911,SUBURBANA/RURAL,JUAN TAMEZ,CALLE,LAS CRISTALINAS,"25.43469317463444, -100.16084357383278",
1034,2022,MARZO,2022-03-30,miércoles,23:11:00,ESTRELLAMIENTO CON OBJETO FIJO SEAÑLAMIENTO DE BANDERA Y PUENTE,MUNCIPIO,C4/911,SUBURBANA/RURAL,CARRETERA NACIONAL KM 248+700,CARRETERA,CENTRO LA VILLA,"25.42937104386939, -100.15043140793932",
773,2022,MARZO,2022-03-30,miércoles,13:17:00,LATERAL,PARTICULARES,C4/911,SUBURBANA/RURAL,MARTÍNEZ,CALLE,MALEAÑOS,"25.37277378961183, -100.11509130684276",
1035,2022,MARZO,2022-03-31,jueves,01:42:00,ALCANCE CON HUIDA,MUNICIPIO,C4/911,SUBURBANA/RURAL,CARRETERA NACIONAL KM 253,CARRETERA,SD,"25.494206097071658, -100.18758713027464",
1017,2022,MARZO,2022-03-31,jueves,08:00:00,VOLCADURA,SIN DAÑOS,C4/911,SUBURBANA/RURAL,CAMINO A LOS RAYADOS,CALLE,EL BARRIAL,"25.470555709156343, -100.18582086938628",
1018,2022,MARZO,2022-03-31,jueves,13:52:00,SALIDA DE CARPETA,SIN DAÑOS,C4/911,SUBURBANA/RURAL,CARRETERA LOS CAVAZOS SAN MATEO,CARRETERA,SD,"25.437325750656402, -100.14100821558888",
1514,2022,OCTUBRE,2022-10-01,2022-10-01 00:00:00,23:20:00,CHOQUE LATERAL,PARTICULARES,C4/911,SUBURBANA/RURAL,LA CIENEGUILLA,CARRETERA,CARRETERA COLA DE CABALLO KM 3,"25.381699554501512, -100.14820189588829",
1483,2022,OCTUBRE,2022-10-02,2022-10-02 00:00:00,21:40:00,ESTRELLAMIENTO CON PROYECCIÓN,NINGUNA,C4/911,SUBURBANA/RURAL,CIENEGUILLA,CARRETERA,CARRETERA COLA DE CABALLO KM 6,"25.366958953353308, -100.16156428038582",
1521,2022,OCTUBRE,2022-10-02,2022-10-02 00:00:00,07:53:00,ALCANCE CON ESTRELLAMIENTO,PARTICULARES,C4/911,SUBURBANA/RURAL,SAN JOSE,CALLE,MARGARITA MAZA DE JUAREZ,"25.396727731718876, -100.12924950603052",
1530,2022,OCTUBRE,2022-10-03,2022-10-03 00:00:00,10:01:00,CHOQUE DIVERSO,PARTICULARES,C4/911,SUBURBANA/RURAL,LOS FIERROS,CALLE,BENITO JUÁREZ,"25.3588899278976, -100.09928442558227",
1546,2022,OCTUBRE,2022-10-07,2022-10-07 00:00:00,16:05:00,CHOQUE DE CRUCERO,PARTICULARES,C4/911,SUBURBANA/RURAL,SAN JOSE SUR,CALLE,JUAREZ,"25.391500069461202, -100.12421558777046",
1500,2022,OCTUBRE,2022-10-09,2022-10-09 00:00:00,11:00:00,LATERAL,PARTICULARES,C4/911,SUBURBANA/RURAL,EL CERCADO,CALLE,MANUEL M TAMEZ,"25.405007560044282, -100.13251667570998",
1541,2022,OCTUBRE,2022-10-10,2022-10-10 00:00:00,09:01:00,VOLCADURA,NINGUNO,C4/911,SUBURBANA/RURAL,LA CORTINA,CARRETERA,CARRETERA LOS CAVAZOS A SAN MATEO KM 7,"25.43366679818647, -100.13912113831493",
1548,2022,OCTUBRE,2022-10-10,2022-10-10 00:00:00,14:20:00,ALCANCE,PARTICULARES,C4/911,SUBURBANA/RURAL,SAN JAVIER,CARRETERA,CARRETERA NACIONAL KM 246+500,"25.411172696452624, -100.13888733263633",
1542,2022,OCTUBRE,2022-10-16,2022-10-16 00:00:00,20:34:00,DIVERSO,PARTICULARES,C4/911,SUBURBANA/RURAL,CENTRO VILLA DE SANTIAGO,CARRETERA,CARRETERA NACIONAL KM 248,"25.421972134326538, -100.14583848305766",
1557,2022,OCTUBRE,2022-10-16,2022-10-16 00:00:00,12:20:00,DIVERSO,PARTICULARES Y MUNICIPIO,C4/911,SUBURBANA/RURAL,SAN JAVIER,CARRETERA,CARRETERA NACIONAL KM 246,"25.41298280429417, -100.13883220428717",
1576,2022,OCTUBRE,2022-10-20,2022-10-20 00:00:00,13:11:00,CRUCERO,PARTICULARES,C4/911,SUBURBANA/RURAL,CENTRO DE SANTIAGO,CALLE,RAYÓN,"25.422363199793693, -100.14691337210449",
1581,2022,OCTUBRE,2022-10-24,2022-10-24 00:00:00,13:05:00,ESTRELLAMIENTO CON OBJETO FIJO MURO DE CONCRETO,PARTICULARES,C4/911,SUBURBANA/RURAL,EL ALAMO,CALLE,MEXICO,"25.378779803006097, -100.11347630228536",
1601,2022,OCTUBRE,2022-10-25,2022-10-25 00:00:00,10:02:00,ESTRELLAMIENTO,PARTICULARES,C4/911,SUBURBANA/RURAL,EL CERCADO,CALLE,ZARAGOZA,"25.401894870963403, -100.13524981584403",
1617,2022,OCTUBRE,2022-10-29,2022-10-29 00:00:00,SIN DATOS,MOBIL DE VEHÍCULO,PARTICULARES,C4/911,SUBURBANA/RURAL,LOS CAVAZOS,CARRETERA,CARRETERA NACIONAL KM 251,"25.445830203492495, -100.15823571475218",
1586,2022,OCTUBRE,2022-10-29,2022-10-29 00:00:00,12:12:00,SALIDA DE CARPETA CON VOLCADURA,PARTICULARES,C4/911,SUBURBANA/RURAL,LA TINAJA,CARRETERA,CARRETERA LOS CAVAZOS SAN MATEO KM 13,"25.48103980159426, -100.10552429130402",
1579,2022,NOVIEMBRE,2022-11-04,2022-11-04 00:00:00,13:04:00,DIVERSO (REVERSA),PARTICULARES,C4/911,SUBURBANA/RURAL,LAS MISIONES,CALLE,ANTIGUO CAMINO A VILLA DE SANTIAGO,"25.506789454292917, -100.19135194853281",
1580,2022,NOVIEMBRE,2022-11-05,2022-11-05 00:00:00,23:25:00,SALIDA DE CARPETA CON ESTRELLAMIENTO FRONTAL,PARTICULARES,C4/911,SUBURBANA/RURAL,CENTRO DE SANTIAGO,CARRETERA,CARRETERA NACIONAL KM 248+500,"25.428589438810356, -100.15021551475469",
