 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
P-266,2021,Julio-Septiembre,Colonia,Rincon de Huinala,Calle,Rincon de Huinala,Si,Si,No,Si,No,No,0,"25.737407480732394, -100.15767111416824",
P-267,2021,Julio-Septiembre,Colonia,Rincon de Huinala,Calle,Sabino,No,No,No,No,No,No,0,"25.73638729396754, -100.15791064497583",
P-269,2021,Julio-Septiembre,Colonia,Rincon de Huinala,Calle,Rincon de Huinala,Si,Si,No,Si,No,No,0,"25.737407480732394, -100.15767111416824",
P-273,2021,Julio-Septiembre,Colonia,Rinconada,Calle,Salamanca,Si,Si,No,No,No,Si,2,"25.798288813990908, -100.19934232334305",
P-276,2021,Julio-Septiembre,Colonia,Roberto Espinoza,Calle,Ecuatorianos,No,Si,No,Si,No,No,0,"25.724032285138883, -100.17766481103963",
P-280,2021,Julio-Septiembre,Colonia,San Andres,Calle,Oaxaca,No,Si,No,No,No,No,0,"25.73942459599647, -100.1726658319039",
P-285,2021,Julio-Septiembre,Colonia,San Isidro,Calle,San Isidro,No,Si,Si,No,No,Si,2,"25.76016912018607, -100.1533024542935",
P-287,2021,Julio-Septiembre,Colonia,San Isidro,Calle,Rio Mississipi,No,Si,No,No,No,No,0,"25.760473604679333, -100.15176519704363",
P-290,2021,Julio-Septiembre,Colonia,Santa Elena,Calle,Guillermo Ponce,No,No,No,No,No,No,0,"25.811030176621518, -100.2456484011638",
P-293,2021,Julio-Septiembre,Colonia,Sebastian Elizondo,Calle,Sebastian Elizondo,No,Si,No,No,No,No,0,"25.71085814097456, -100.17278791824653",
P-296,2021,Julio-Septiembre,Colonia,Unidad Habitacional Independencia,Calle,Allende,Si,Si,No,No,No,No,0,"25.73933667936281, -100.19264296860686",
P-297,2021,Julio-Septiembre,Colonia,Valle de Apodaca,Calle,Atenas,Si,Si,No,No,No,No,0,"25.793972280462413, -100.25764001351668",
P-303,2021,Julio-Septiembre,Colonia,Valle de Huinala,Calle,Valle del Norte,No,Si,No,Si,No,No,0,"25.743350092571433, -100.18910528171992",
P-310,2021,Julio-Septiembre,Colonia,Valle de las Palmas,Calle,Venero,No,Si,No,Si,No,No,0,"25.787763461176212, -100.26414469949654",
P-314,2021,Julio-Septiembre,Colonia,Valle de San Andres,Calle,San Andres,No,Si,No,Si,No,No,0,"25.7978581763371, -100.24614540109835",
P-316,2021,Julio-Septiembre,Colonia,Valle de San Andres,Calle,Estelares,No,Si,Si,No,No,No,0,"25.79697432448578, -100.24818656207823",
P-319,2021,Julio-Septiembre,Colonia,Villa de San Carlos,Calle,Villa de San Carlos,No,Si,No,No,No,No,0,"25.73572832070322, -100.15597627478121",
P-321,2021,Julio-Septiembre,Colonia,Mision San Miguel,Calle,Telefonos,Si,Si,Si,No,No,Si,2,"25.717863816947915, -100.17396525884374",
P-322,2021,Julio-Septiembre,Colonia,Vivienda Digna,Calle,Bosques de San Miguel,No,No,No,No,No,No,0,"25.706647539764255, -100.14258907704257",
P-332,2021,Julio-Septiembre,Fraccionamiento,Privadas del Rey,Calle,Andalucia,No,Si,No,No,No,No,0,"25.798639349660725, -100.25413285327463",
P-340,2021,Julio-Septiembre,Fraccionamiento,Valle de San Miguel,Calle,Valle San Rafael,No,Si,No,Si,No,No,0,"25.719726850204342, -100.16630590373222",
04096002  folio 16115 y 04096003  folio16116,2022,Abril-Junio,Colonia,"Las Margaritas, Parque  Hda. Las Margaritas",Avenida,"Av. Acapulco sin número, Hda. Las margaritas",No,Si,Si,No,No,Si,23,"25.714371993258382, -100.15251396841741",
